permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/-fame,#fame,http://livfame.com,Media,10000000,operating,IND,16,Mumbai,Mumbai,1,,05-01-2015,05-01-2015
/organization/-qounter,:Qounter,http://www.qounter.com,Application Platforms|Real Time|Social Network Media,700000,operating,USA,DE,DE - Other,Delaware City,2,04-09-2014,01-03-2014,14-10-2014
/organization/-the-one-of-them-inc-,"(THE) ONE of THEM,Inc.",http://oneofthem.jp,Apps|Games|Mobile,3406878,operating,,,,,1,,30-01-2014,30-01-2014
/organization/0-6-com,0-6.com,http://www.0-6.com,Curated Web,2000000,operating,CHN,22,Beijing,Beijing,1,01-01-2007,19-03-2008,19-03-2008
/organization/004-technologies,004 Technologies,http://004gmbh.de/en/004-interact,Software,-,operating,USA,IL,"Springfield, Illinois",Champaign,1,01-01-2010,24-07-2014,24-07-2014
/organization/01games-technology,01Games Technology,http://www.01games.hk/,Games,41250,operating,HKG,,Hong Kong,Hong Kong,1,,01-07-2014,01-07-2014
/organization/0ndine-biomedical-inc,Ondine Biomedical Inc.,http://ondinebio.com,Biotechnology,762851,operating,CAN,BC,Vancouver,Vancouver,2,01-01-1997,11-09-2009,21-12-2009
/organization/0xdata,H2O.ai,http://h2o.ai/,Analytics,33600000,operating,USA,CA,SF Bay Area,Mountain View,4,01-01-2011,03-01-2013,09-11-2015
/organization/1,One Inc.,http://whatis1.com,Mobile,1150050,operating,USA,CA,SF Bay Area,San Francisco,3,01-08-2011,20-07-2011,05-02-2014
/organization/1-2-3-listo,"1,2,3 Listo",http://www.123listo.com,E-Commerce,40000,operating,CHL,12,Santiago,Las Condes,1,01-01-2012,18-02-2013,18-02-2013
/organization/1-4-all,1-4 All,,Entertainment|Games|Software,-,operating,USA,NC,NC - Other,Connellys Springs,1,,21-04-2013,21-04-2013
/organization/1-618-technology,1.618 Technology,http://www.Homeandcondogallery.com,Networking|Real Estate|Web Hosting,-,operating,USA,FL,Orlando,Orlando,1,07-12-2013,22-01-2014,22-01-2014
/organization/1-800-dentist,1-800-DENTIST,http://www.1800dentist.com,Health and Wellness,-,operating,USA,CA,Los Angeles,Los Angeles,1,01-01-1986,19-08-2010,19-08-2010
/organization/1-800-doctors,1-800-DOCTORS,http://1800doctors.com,Health and Wellness,1750000,operating,USA,NJ,Newark,Iselin,1,01-01-1984,02-03-2011,02-03-2011
/organization/1-800-publicrelations-inc-,"1-800-PublicRelations, Inc.",http://www.1800publicrelations.com,Internet Marketing|Media|Public Relations,6000000,operating,USA,NY,New York City,New York,1,24-10-2013,01-02-2015,01-02-2015
/organization/1-mainstream,1 Mainstream,http://www.1mainstream.com,Apps|Cable|Distribution|Software,5000000,acquired,USA,CA,SF Bay Area,Cupertino,1,01-03-2012,17-03-2015,17-03-2015
/organization/1-of-99,1 of 99,,Entertainment|Games,100000,operating,USA,CA,SF Bay Area,Mountain View,1,01-12-2014,13-12-2014,13-12-2014
/organization/10-20-media,10-20 Media,http://www.10-20media.com,E-Commerce,2050000,operating,USA,MD,Baltimore,Woodbine,4,01-01-2001,18-06-2009,28-12-2011
/organization/10-minutes-with,10 Minutes With,http://10minuteswith.com,Education,4400000,operating,GBR,H9,London,London,2,01-01-2013,01-01-2013,09-10-2014
/organization/1000-corks,1000 Corks,http://1000corks.com,Search,40000,operating,USA,OR,"Portland, Oregon",Lake Oswego,1,01-01-2008,23-08-2011,23-08-2011
/organization/1000-markets,1000 Markets,http://www.1000markets.com,Art|E-Commerce|Marketplaces,500000,acquired,USA,WA,Seattle,Seattle,1,01-01-2009,15-05-2009,15-05-2009
/organization/1000chi,Beijing 1000CHI Software Technology,http://www.1000chi.com/,Mobile,43923865,operating,,,,,1,01-01-2008,01-04-2010,01-04-2010
/organization/1000lookz,1000Lookz,http://1000lookz.com,Beauty,-,operating,IND,25,Chennai,Chennai,1,01-01-2008,22-07-2013,22-07-2013
/organization/1000memories,1000memories,http://1000memories.com,Curated Web,2535000,acquired,USA,CA,SF Bay Area,San Francisco,2,01-07-2010,01-01-2010,16-02-2011
/organization/1000museums-com,1000museums.com,http://www.1000museums.com,Curated Web,6795451,operating,USA,MA,MA - Other,Lenox,9,01-01-2008,14-10-2009,13-11-2015
/organization/1001-menus,ZenChef,http://zenchef.com/en/,Local Businesses|Restaurants,10661772.9,operating,FRA,A8,Paris,Paris,5,20-11-2010,15-12-2012,04-11-2015
/organization/1001pharmacies-com,1001pharmacies.com,http://www.1001pharmacies.com/,Cosmetics|Marketplaces,8900000,operating,FRA,A9,Montpellier,Montpellier,1,01-01-2012,09-07-2015,09-07-2015
/organization/1006-tv,1006.tv,http://www.1006.tv/,Games|Media,10000000,operating,CHN,22,Beijing,Beijing,3,01-01-2009,01-01-2011,31-07-2014
/organization/100du-tv,100du.tv,http://www.100du.com,Hospitality,3000000,operating,CHN,23,Shanghai,Shanghai,2,,07-01-2008,13-08-2010
/organization/100e-com,100e.com,http://www.100e.com,Education,4500000,operating,CHN,22,Beijing,Beijing,2,,01-01-2006,01-09-2006
/organization/100health,Redox,http://www.redoxengine.com,Health Care|Health Care Information Technology|Hospitals,4000000,operating,USA,WI,Madison,Madison,2,04-07-2014,26-11-2014,20-10-2015
